id,name,address,website,distance,matFee,dropInFee,sessionDay,sessionTime,sessionType,coordinates,last_updated
austin-10th-planet-austin,10th planet austin,"4509 Freidrich Ln #210, Austin, TX 78744",https://10patx.com/,0,25,35,Saturday,12pm-2pm,NoGi,"30.2070873,-97.750738",2025-01-28
austin-10th-planet-austin,10th planet austin,"4509 Freidrich Ln #210, Austin, TX 78744",https://10patx.com/,0,25,35,Sunday,12-2pm,NoGi,"30.2070873,-97.750738",2025-01-28
austin-10th-planet-round-rock,10th planet round rock,"3810 Gattis School Rd Suite 109 & 110, Round Rock, TX 78664",https://10patx.com/,0,0,,Sunday,12-3pm,Gi/NoGi,"30.49370250,-97.67476450",2025-01-28
austin-atos,Atos,"11701 Bee Caves Rd Suite 110, Austin, TX 78738",https://atosjiujitsu.com/,0,0,,Saturday,11:30am-12:30pm,Gi/NoGi,"30.2751119,-97.8014446",2025-01-28
austin-austin-submission-fighting,Austin Submission Fighting,"11940 Menchaca Rd #104, Austin, TX 78748",http://www.austinsubfight.com/,0,0,,Sunday,11am-1pm,Gi/NoGi,"30.19966640,-97.80760950",2025-01-28
austin-austin-submission-fighting,Austin Submission Fighting,"11940 Menchaca Rd #104, Austin, TX 78748",http://www.austinsubfight.com/,0,0,,Sunday,6pm-8pm,Gi/NoGi,"30.19966640,-97.80760950",2025-01-28
austin-black-widow-mma,Black widow MMA,"2007 Kramer Ln #101, Austin, TX 78758",https://blackwidowmma.com/,0,0,,Thursday,12pm-1pm,Gi/NoGi,"30.388225,-97.7101372",2025-01-28
austin-brazilian-top-team,Brazilian Top Team,"9313 Anderson Mill Rd, Austin, TX 78729",https://bttusa.com/,0,35,,Saturday,12pm-1pm,Gi,"30.4502058,-97.7839624",2025-01-28
austin-brazilian-top-team,Brazilian Top Team,"9313 Anderson Mill Rd, Austin, TX 78729",https://bttusa.com/,0,35,,Saturday,1pm-2pm,NoGi,"30.4502058,-97.7839624",2025-01-28
austin-claunch,Claunch,"12112 Ranch Rd 620 N, Austin, TX 78750",http://www.claunchacademyofbjj.com/,0,0,,Saturday,9:00am-10:00am,Gi/NoGi,"30.4615711,-97.8196109",2025-01-28
austin-coopers,Coopers,"12129 N FM 620 Suite # 330, Austin, TX 78750",https://coopersjiujitsu.com/,0,0,,Saturday,1pm,Gi/NoGi,"30.4612868,-97.8174358",2025-01-28
austin-coopers,Coopers,"12129 N FM 620 Suite # 330, Austin, TX 78750",https://coopersjiujitsu.com/,0,0,,Sunday,4pm,Gi/NoGi,"30.4612868,-97.8174358",2025-01-28
austin-coopers,Coopers,"12129 N FM 620 Suite # 330, Austin, TX 78750",https://coopersjiujitsu.com/,0,0,,Tuesday,6:30pm-7:30pm,Gi/NoGi,"30.4612868,-97.8174358",2025-01-28
austin-coopers,Coopers,"12129 N FM 620 Suite # 330, Austin, TX 78750",https://coopersjiujitsu.com/,0,0,,Thursday,6:30pm-7:30pm,Gi/NoGi,"30.4612868,-97.8174358",2025-01-28
austin-free-world-jiu-jitsu,Free world jiu jitsu,"1202 Farm To Market 685, Pflugerville, TX 78660",,0,0,,Sunday,11am-1pm,Gi/NoGi,"30.44965050,-97.60573850",2025-01-28
