id,name,address,website,distance,matFee,dropInFee,coordinates,last_updated,monday,tuesday,wednesday,thursday,friday,saturday,sunday
tampa-stjj-1,"South Tampa Jiu Jitsu","4916 South Lois Ave, Tampa, FL 33611",https://southtampajiujitsu.com/,0,0,20,"27.8933026,-82.5153407",2025-01-28,,,,,"5:00 PM - NoGi","11:00 AM - MMA Sparring","9:00 AM - Gi"
tampa-robson,"Robson Moura","11220 W Hillsborough Ave, Tampa, FL 33635",https://robsonmoura.com/,0,0,0,"28.0123,-82.5869",2025-01-28,,,,,"6:00 PM - Gi/NoGi",,
tampa-humaita,"Gracie Humaita","8610 Citrus Park Dr, Tampa, FL 33625",https://www.graciehumaita.com,0,0,0,"28.0682,-82.5759",2025-01-28,,,,,"6:30 PM - 7:30 PM - Gi/NoGi",,
tampa-kaizen,"Kaizen","4304 E Broadway Ave, Tampa, FL 33605",https://kaizentampa.com/,0,0,0,"27.9602798,-82.4098719",2025-01-28,,,,,,,"11:00 AM - 1:00 PM - Gi/NoGi"
tampa-ycjjc,"Ybor City Jiu-Jitsu Club","718 E Henderson Ave, Tampa, FL 33602",https://www.facebook.com/ycjjc/,0,0,0,"27.9596474,-82.4532569",2025-01-28,,,,,,,"12:00 PM - 2:00 PM - Gi/NoGi"
tampa-gracie-brandon,"Gracie Brandon","1155 Nikki View Dr, Brandon, FL 33511",https://graciebrandon.com,0,0,0,"27.9370,-82.2865",2025-01-28,,,,,,,"1:30 PM - Gi/NoGi"
tampa-gracie-westchase-1,"Gracie Westchase","12807 W Hillsborough Ave Suite F, Tampa, FL 33635",https://graciewestchase.com,0,0,0,"28.0174,-82.6376",2025-01-28,,,,,,"10:00 AM - 12:00 PM - Gi/NoGi","9:00 AM - 12:00 PM - Gi/NoGi"
tampa-tactics,"Tactics Jiu-Jitsu","10630 N 56th St, Tampa, FL 33617",https://www.facebook.com/people/Tactics-Jiu-Jitsu/61556596366416/,0,0,0,"28.0331,-82.3932",2025-01-28,,,,,,"10:30 AM - Gi/NoGi",
tampa-tmt,"Tampa Muay Thai","1622 N Franklin St, Tampa, FL 33602",https://tampamuaythai.com/kmt/,0,0,0,"27.9587072,-82.4602665",2025-01-28,,,,,,"11:30 AM - NoGi",
tampa-gracie-trinity,"Gracie Trinity","11548 Pyramid Dr, Odessa, FL 33556",https://gracietrinity.com/,0,0,0,"28.1833,-82.5931",2025-01-28,,,,,,"11:00 AM - Gi/NoGi",
tampa-tjj-1,"Tampa Jiu Jitsu","11732 N Dale Mabry Hwy, Tampa, FL 33618",https://www.tampajiujitsu.com/,0,0,0,"28.0289,-82.5067",2025-01-28,"8:30 PM - 9:30 PM - Gi/NoGi","9:00 PM - 10:00 PM - Gi/NoGi","9:15 PM - 10:00 PM - Gi/NoGi","9:00 PM - 10:00 PM - Gi/NoGi",,"1:00 PM - 2:00 PM - Gi/NoGi",
tampa-gracie-south,"Gracie Tampa South","1345 W Gray St, Tampa, FL 33606",https://gracietampasouth.com/,0,0,0,"27.9484082,-82.4731606",2025-01-28,,,,,,"12:00 PM - 2:00 PM - Gi/NoGi",
tampa-collective,"Collective MMA Tampa","4310 W Gandy Blvd, Tampa, FL 33611",https://collectivemmatampa.com/,0,0,0,"27.8947,-82.5117",2025-01-28,,,,,,,"1:00 PM - 3:00 PM - Gi/NoGi"
tampa-wesley-chapel-1,"Wesley Chapel Gym","30052 FL-54, Wesley Chapel, FL 33543",,0,0,0,"28.2394,-82.3548",2025-01-28,,,,,"7:00 PM - 8:00 PM - NoGi","11:00 AM - 12:00 PM - Gi",
tampa-att,"American Top Team Tampa","10123 Wilsky Boulevard Tampa FL 33625",americantopteamtampa.com,0,Contact,Contact,"28.0645,-82.6245",2025-01-28,,,,,,,
tampa-gracie-main,"Gracie Tampa","Lutz FL",gracietampa.com,0,Contact,Contact,"28.1514,-82.4615",2025-01-28,,,,,,,
tampa-marciocruz,"Marcio Cruz BJJ New Tampa","New Tampa FL",marciocruzbjj.com,0,Contact,Contact,"28.1447,-82.3655",2025-01-28,,,,,,,
tampa-checkmat,"Checkmat BJJ Tampa","114 Douglas Road East Oldsmar FL",facebook.com/CheckmatBJJTampa,0,Contact,Contact,"28.0342,-82.6654",2025-01-28,,,,,,,
tampa-gb-citrus,"Gracie Barra Citrus Park","6176 Gunn Hwy Tampa FL 33625",gbcitrusparktampa.com,0,Contact,Contact,"28.0772,-82.5831",2025-01-28,,,,,,,
tampa-gracie-ctc,"Gracie Martial Arts Tampa","Tampa FL",graciemartialartstampa.com,0,Contact,Contact,"27.9475,-82.4584",2025-01-28,,,,,,,
tampa-graciepac,"Gracie PAC MMA","Tampa FL",graciepac.com,0,Contact,Contact,"27.9475,-82.4584",2025-01-28,,,,,,,
tampa-delariva,"De La Riva BJJ Tampa Bay","Tampa Bay FL",delarivabjjtampabay.com,0,Contact,Contact,"27.8753,-82.4547",2025-01-28,,,,,,,
tampa-north-river,"North River BJJ","1035 Hasko Rd. #102, Palmetto, Florida 34221",https://northriverbjj.com/,0,0,0,"27.5211,-82.5723",2025-01-28,,,,,,"11:00 AM - Gi/NoGi",
